,naf_distance,naf_velocity
506,-176.02900000000028,-18.7102
507,-175.03900000000021,-19.6872
508,-174.03799999999984,-18.8422
509,-173.04799999999977,-19.3495
510,-172.05799999999977,-20.279
511,-171.0680000000005,-19.5099
512,-170.07800000000046,-20.3661
513,-169.08800000000042,-17.4899
514,-168.08700000000002,-19.2985
515,-167.09699999999998,-19.5728
516,-166.10699999999994,-18.761
517,-165.1169999999999,-16.7829
518,-164.12699999999987,-25.5471
519,-163.12600000000026,-21.8854
520,-162.1360000000002,-17.3366
521,-161.14600000000019,-15.8817
522,-160.15600000000012,-16.4516
523,-159.1660000000001,-18.5834
524,-158.16500000000048,-20.6772
525,-157.17500000000044,-21.6805
526,-156.1850000000004,-21.4239
527,-155.19500000000036,-22.2968
528,-154.20500000000033,-22.1283
529,-153.20399999999992,-21.1532
530,-152.21399999999988,-21.1818
531,-151.22399999999985,-20.8967
532,-150.2339999999998,-20.8462
533,-149.24399999999977,-20.5252
534,-148.24300000000017,-19.8932
535,-147.2530000000001,-20.7669
536,-146.2630000000001,-23.9068
537,-145.27300000000002,-24.0774
538,-144.28300000000002,-23.6971
539,-143.29299999999995,-22.7376
540,-142.29200000000034,-22.8382
541,-141.3020000000003,-22.9035
542,-140.31200000000027,-22.7952
543,-139.32200000000023,-22.7118
544,-138.3320000000002,-20.4224
545,-137.3309999999998,-18.7242
546,-136.34099999999975,-18.7217
547,-135.3510000000005,-16.7091
548,-134.36100000000044,-19.1207
549,-133.37100000000044,-21.8743
550,-132.37,-22.4157
551,-131.38,-22.4248
552,-130.38999999999993,-21.7408
553,-129.39999999999992,-21.3676
554,-128.40999999999985,-19.2356
555,-127.40900000000025,-17.7197
556,-126.41900000000021,-18.1905
557,-125.42900000000017,-18.0676
558,-124.43900000000014,-17.1978
559,-123.4490000000001,-17.4226
560,-122.45900000000006,-17.7435
561,-121.45800000000044,-18.8721
562,-120.4680000000004,-19.0365
563,-119.47800000000036,-19.9015
564,-118.48800000000033,-19.9494
565,-117.49800000000029,-19.0387
566,-116.49699999999989,-17.8858
567,-115.50699999999985,-17.679
568,-114.51699999999981,-19.7035
569,-113.52699999999977,-26.6486
570,-112.53700000000052,-20.1177
571,-111.53600000000012,-12.9594
572,-110.54600000000008,-11.4003
573,-109.55600000000004,-12.2225
574,-108.566,-13.0585
575,-107.57599999999996,-16.431
576,-106.57500000000034,-17.8843
577,-105.5850000000003,-18.6761
578,-104.59500000000027,-20.7982
579,-103.60500000000023,-22.6467
580,-102.6150000000002,-27.2179
581,-101.61399999999979,-17.7138
582,-100.62399999999975,-14.7865
583,-99.6340000000005,-15.1353
584,-98.64400000000046,-16.5792
585,-97.65400000000042,-18.19
586,-96.66400000000039,-18.1769
587,-95.66299999999998,-16.4896
588,-94.67299999999994,-15.8169
589,-93.68299999999991,-15.3868
590,-92.69299999999987,-15.4085
591,-91.70299999999983,-16.2067
592,-90.70200000000021,-15.2444
593,-89.71200000000017,-14.7056
594,-88.72200000000014,-14.494
595,-87.7320000000001,-13.7462
596,-86.74200000000006,-12.7834
597,-85.74100000000044,-13.1887
598,-84.7510000000004,-14.2325
599,-83.76100000000037,-14.9965
600,-82.77100000000033,-13.0953
601,-81.78100000000029,-12.6486
602,-80.77999999999989,-11.8384
603,-79.78999999999985,-12.7477
604,-78.79999999999981,-13.3438
605,-77.80999999999977,-13.7043
606,-76.81999999999974,-13.9818
607,-75.83000000000048,-14.0449
608,-74.82900000000008,-13.6959
609,-73.83900000000004,-13.4053
610,-72.849,-13.1185
611,-71.85899999999997,-13.2724
612,-70.86899999999993,-13.3352
613,-69.86800000000031,-13.0362
614,-68.87800000000027,-12.7473
615,-67.88800000000023,-12.2612
616,-66.8980000000002,-11.745
617,-65.90800000000016,-10.9307
618,-64.90699999999975,-11.6908
619,-63.9170000000005,-12.8333
620,-62.92700000000046,-10.8887
621,-61.937000000000424,-11.1101
622,-60.947000000000386,-12.2491
623,-59.945999999999984,-10.6439
624,-58.955999999999946,-10.2358
625,-57.96599999999991,-9.8298
626,-56.97599999999987,-9.3461
627,-55.985999999999834,-8.8353
628,-54.98500000000021,-8.6082
629,-53.995000000000175,-8.9994
630,-53.00500000000014,-5.9316
631,-52.0150000000001,-5.1278
632,-51.02500000000006,-5.0113
633,-50.035000000000025,-4.9102
634,-49.03400000000039,-3.721
635,-48.04400000000038,-4.2698
636,-47.054000000000315,-3.7843
637,-46.064000000000306,-0.4598
638,-45.07400000000024,1.6223
639,-41.102999999999724,-5.2127
640,-40.11300000000048,-3.4113
641,-39.11200000000008,-3.1524
642,-38.12200000000004,-2.6883
643,-37.132000000000005,-2.8667
644,-36.14199999999997,-2.1234
645,-35.15199999999993,-1.7318
646,-34.151000000000295,-0.8896
647,-33.161000000000286,-0.3069
648,-32.17100000000022,-0.0376
649,-31.18100000000021,0.2776
650,-30.191000000000145,0.5459
651,-29.18999999999977,0.1017
652,-28.2000000000005,0.5929
653,-27.210000000000463,1.31
654,-26.220000000000425,1.6638
655,-25.230000000000388,1.9796
656,-24.24000000000035,0.8699
657,-23.238999999999947,0.1167
658,-22.24899999999991,0.9596
659,-21.258999999999872,1.8557
660,-20.268999999999835,2.6558
661,-19.278999999999797,2.8812
662,-18.27800000000019,2.2757
663,-17.288000000000125,2.4989
664,-16.298000000000116,3.1239
665,-15.30800000000005,3.0288
666,-14.31800000000004,2.0336
667,-13.317000000000405,2.6601
668,-12.327000000000368,2.5673
669,-11.33700000000033,2.556
670,-10.347000000000293,2.5575
671,-9.357000000000255,2.3763
